OBJECTID,ID,CODIGO_DANE,NOMBRE,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,PUEBLO,DEPARTAMENTO,MUNICIPIO,GlobalID
362,11042,SIN INFORMACION,Resguardo Indígena Nasa Kiwe Use Nueva Palestina,ACUERDO,384,2024/08/13 00:00:00+00,149.1509,ACCTI 02386320490,NASA,86,86320,{2D36C657-152D-4F42-9AD2-B2D5DEB227D3}
363,10088,1059,Resguardo Indígena Guahibo de La Esperanza,RESOLUCION,0007,1995/02/07 00:00:00+00,150.75,"446-688, 446-689",GUAHIBO,81,81794,{CCC7B48E-C8B4-47A6-AAC0-FF2D7566FCCB}
364,10023,1553,Resguardo Indígena Embera-Katio de Andabu,RESOLUCION,0027,1999/05/31 00:00:00+00,16661.385,I-598.241,EMBERA KATIO,05,05847,{CE63FC78-4CF8-4A61-8184-DE7E48EEB489}
365,10486,1812,Resguardo Indígena Awa Ñambi Piedra Verde,ACUERDO,0007,2015/12/21 00:00:00+00,7334.2109,014501AE52079,AWA,52,52079,{A8245CE1-4658-4397-99F5-586BEAD14961}
366,10450,1531,Resguardo Indígena Wayuu de Monte Harmon,RESOLUCION,0048,1998/11/30 00:00:00+00,41.2558,582828,WAYUU,44,44001,{7BF836AB-6975-435F-A645-A832CDC7EF13}
367,10504,1370,Resguardo Indígena Awa de Gualcalá,RESOLUCION,0030,1992/07/13 00:00:00+00,17180,P-198.842 de junio de 1988,AWA,52,52612,{A5348331-02CD-4770-8394-28A2D9B2A188}
368,11480,SIN ASIGNAR,Resguardo Indígena Yanacona El Paraiso,RESOLUCION,289,2023/08/01 00:00:00+00,5.3161,ACCTI 193971746,YANACONA,19,19397,{D1A231FC-DF74-4110-92EA-798E203455D3}
369,10256,1447,Resguardo Indígena Waunana de Cabeceras o Puerto Pizario,RESOLUCION,0013,1983/05/03 00:00:00+00,2920,262714 de junio de 1981,WAUNANA,27,27361,{F930B5E1-43E9-43EC-9435-46C7835E738E}
370,10274,1526,Resguardo Indígena Embera de Puerto Antioquia,RESOLUCION,0042,1998/11/30 00:00:00+00,280,P 466-690,EMBERA,27,27099,{2E2FB7FC-3009-44C2-BF76-9913F8A23FAE}
371,10381,1292,Resguardo Indígena del Paraje de El Venado,RESOLUCION,0027,1986/04/30 00:00:00+00,34160,370050,VELASQUEROS,94,94001,{7E9CF038-CBE4-46C6-8935-B9BB8C46B417}
372,10143,1104,Resguardo Indígena Coreguaje de San Miguel,RESOLUCION,0034,1997/12/10 00:00:00+00,169.5,"559,719",COREGUAJE,18,18756,{F35A63B9-79D2-4AAD-93FA-0636FF819E7E}
373,10213,1182,Resguardo Indígena de Polindara,RESOLUCION,0010,2003/04/10 00:00:00+00,2222.8675,G-638.6444,PAEZ,19,19824,{48D704CF-011F-495D-A3E9-1EFEE603215A}
374,10855,SIN ASIGNAR,Resguardo Indígena San Gabriel,RESOLUCION,267,2023/03/23 00:00:00+00,1559.5481,ACCTI 195331311,INGA,19,19533,{A0DEEF9D-979F-4262-AFDF-67855D15BCEB}
375,10296,1450,Resguardo Indígena Waunana de Nuevo Pitalito,RESOLUCION,0055,1992/09/29 00:00:00+00,2478,P-466.233,EMBERA WAUNANA,27,27361,{AFD5CB1B-51F4-4158-9805-1A9DF4868867}
376,10119,1614,Resguardo Indígena Coreguaje de El Porvenir Kananguchal,RESOLUCION,0002,2001/02/20 00:00:00+00,530.7,B-504.646,COREGUAJE,18,18756,{B9484D58-A786-4340-9916-2581A5F8BA21}
377,10422,1680,Resguardo Indígena Nasa Paez La Estación Talaga,RESOLUCION,121,2020/04/28 00:00:00+00,580.1657,ACCTI 46396306,PAEZ,41,41396,{C5843408-6DE0-4B13-BB83-63B8BE763842}
378,10683,1808,Resguardo Indígena Campoalegre,ACUERDO,0364,2015/05/05 00:00:00+00,31.9893,002666PS73504,PIJAO,73,73504,{CC4F3AE0-945A-4351-A83C-2A54B95E17B9}
379,10347,1208,Resguardo Indígena Waunana de Santa Rosa De Ijua,RESOLUCION,0056,1992/09/29 00:00:00+00,6352,P-466.217,WAUNANA,27,27077,{CD9597F9-1FD6-46AF-98F4-F29968429237}
380,10312,1525,Resguardo Indígena Embera de Puerto Libia Tripicay,RESOLUCION,0041,1998/11/30 00:00:00+00,2119,P 466.693,EMBERA,27,27025,{3857E726-B53C-4A18-9158-88F034A41967}
381,10079,1582,Resguardo Indígena Piapoco de Cananama,RESOLUCION,0009,2000/06/29 00:00:00+00,2529,446-086 de diciembre de 1990,PIAPOCO,81,81220,{2CB8C9EC-1E01-4892-83B9-702FB7F6C595}
382,10561,1394,Resguardo Indigian Siona de Buenavista,RESOLUCION,45,1983/07/21 00:00:00+00,4500,SIN INFORMACION,SIONA,86,86568,{53FADB8E-BC77-45E0-8DFF-677A4A8BC2DD}
383,10041,1029,Resguardo Indígena Embera-Katio de Jenaturado,RESOLUCION,0009,1995/02/22 00:00:00+00,600,P-466.331 DE OCTUBRE DE 1993,EMBERA KATIO,05,05234,{02066369-F759-4D79-88B2-EAAC60CDA30E}
384,10442,1641,Resguardo Indígena Wayuu de Cerrodeo,RESOLUCION,0002,2002/02/27 00:00:00+00,1251.4464,618524,WAYUU,44,44078,{2C0CD181-FB9D-4B3A-8ED9-E8872BA4629D}
385,10593,1781,Resguardo Indígena Inga-Kichwa La Perecera,RESOLUCION,278,2012/01/31 00:00:00+00,6810.9518,10-0-00645,INGA  KICHWA,86,86573,{1AFD45F7-C073-45FB-84B1-317D193FA819}
386,10692,1419,Resguardo Indígena Pijao San Miguel,RESOLUCION,0011,1997/06/23 00:00:00+00,183.3604,I-551.991,PIJAO,73,73217,{8E900693-CDE7-4128-8378-CFD6F15D2F5D}
387,10007,1537,Resguardo Indígena Ticuna y Cocoma de La Playa,RESOLUCION,20,2001/06/28 00:00:00+00,246.9223,588-169 DEL 2001,TICUNA Y COCAMA,91,91001,{CD6DFD5B-5BA6-4FB4-97BC-E16752F22382}
388,10208,1665,Resguardo Indígena Paez de Pathyú,RESOLUCION,310,2023/11/30 00:00:00+00,288.4649,ACCTI 024119130223,PÁEZ,19,19130,{CC0B52F8-8211-47D0-9A4A-5983B3FFEE21}
389,10369,1281,"Resguardo Indígena Puinave-Tucano-Curripaco-Cubeo, de los parajes de Almidon - La Ceiba",RESOLUCION,0026,1986/04/30 00:00:00+00,40960,370049,PUINAVE TUCANO CURRIPACO  Y CUBEO,94,94001,{185938B6-AA91-41F2-9C6F-E0CDB544C933}
390,10209,1704,Resguardo Indígena Nasa Paez - Pickwe Tha Fiw,ACUERDO,372,2024/05/31 00:00:00+00,769.8699,ACCTI 02419517279,PAEZ,19,19517,{63DF5646-AB69-4739-926C-F2A8BA955BD2}
391,10607,1725,Resguardo Indígena Embera Chami de Simorna,RESOLUCION,0029,2005/09/15 00:00:00+00,9070.277,10-0-00019,EMBERA CHAMI,86,86320,{8EF423ED-3DC1-477E-AC5F-52CDE3108365}
392,10664,1611,Resguardo Indígena Pijao de Mesa De Ortega,RESOLUCION,0056,2000/12/18 00:00:00+00,341.2439,I-605.372,PIJAO,73,73504,{E9025F0A-3936-437C-B43E-FCAAC04385C6}
393,11489,,Resguardo Indígena Nasa Uss del pueblo Nasa,ACUERDO,492,2025/07/10 00:00:00+00,592.366,ACCTI023180012978,NASA,18,18001,{3991442E-ADD5-4008-B6F0-17830223477F}
394,10050,1035,Resguardo Indígena Embera Katio del Rio Murindo,RESOLUCION,0014,1987/02/18 00:00:00+00,18270,198643,EMBERA KATIO,05,05475,{A365F555-C1D7-494F-B2D3-62F9098EA97E}
395,11052,1890,Resguardo Indígena Murui Monilla Amena,ACUERDO,192,2021/11/11 00:00:00+00,23.8433,ACCTI 86568612,MURUI MUINANE,86,86568,{BD3EFDEC-ADE6-47EB-BA7B-3A13F5796212}
396,10590,1716,Resguardo Indígena Paez de La Florida,RESOLUCION,0027,2004/12/15 00:00:00+00,8459.596,INC-630.882,PAEZ,86,86001,{1E19E86A-60F0-44A1-B7E0-0705A6942F55}
397,10549,1774,Resguardo Indígena Awa de Agua Blanca,ACUERDO,0250,2011/06/19 00:00:00+00,1254.8669,SIN INFORMACION,AWA,86,86320,{70A5276E-61B9-4343-B8A9-6B75C6B5EBEF}
398,10718,1692,Resguardo Indígena Embera (Eperara Siapidara) Chonara Huena,RESOLUCION,0045,2003/04/10 00:00:00+00,459.733,I-630.413 de junio de 2002,EMBERA,76,76109,{01E1E947-531D-4FFC-9A84-F58DB30055BE}
399,10613,1509,"Resguardo Indígena Kofan-Inga de Yarinal - San Marcelino, Amaron",RESOLUCION,8,1998/05/13 00:00:00+00,2888.83,"P-466-583, P-466.584 Y P-466.585",KOFAN,86,86757,{2442FE5B-C9B9-4CC5-A83B-8FD331D8316C}
400,10487,1348,Carlosama,RESOLUCION,0079,1993/04/14 00:00:00+00,543.5087,SIN INFORMACION,PASTOS,52,52612,{71FB06DC-0127-4A13-865D-36ACB8957DBD}
401,10230,1584,Resguardo Indígena Yanacona de Santa Marta,RESOLUCION,265,2023/03/23 00:00:00+00,13141.6838,ACCTI 197011592,YANACONA,19,19701,{332C335F-BC08-446A-829A-10D3E62F6728}
402,10133,1082,Resguardo Indígena Coreguaje de Maticurú,RESOLUCION,0009,1992/04/28 00:00:00+00,577.6546,B-196.073,COREGUAJE,18,18460,{702E7567-289F-4529-AA95-0AA60848851D}
403,10130,1664,Resguardo Indígena Coreguaje de La Teofila,ACUERDO,401,2024/10/30 00:00:00+00,24049.7468,ACCTI 02418756707,COREGUAJE,18,18756,{697D55D6-8190-4ABC-B134-0212C34076B5}
404,10472,1681,Resguardo Indígena Embera-Katio de La Julia,RESOLUCION,025-,2003/04/10 00:00:00+00,208.2435,573.632 junio de 1997,EMBERA KATIO,50,50370,{D9686321-15E3-48AD-87BD-228D16519D91}
405,10430,1701,Resguardo Indígena Pickwe Ikh,RESOLUCION,276,2023/06/21 00:00:00+00,468.1675,ACCTI 413781834,PAEZ,41,41378,{534D916D-086A-4344-A48A-BFDD24735948}
406,10013,1019,"Resguardo Indígena Ticuna, Cocama y Yagua - Ticoya",ACUERDO,264,2023/03/23 00:00:00+00,171381.1947,ACCTI 910011572,TICUNA COCAMA YAGUA,91,91540,{D23BC81D-DA9A-422E-AF5F-CE62179AD924}
407,10241,1575,Resguardo Indígena Embera Katio de Abejero,RESOLUCION,0079,1999/12/09 00:00:00+00,230.4825,"P-466,711",EMBERA KATIO,27,27245,{8FCC6FE3-AAE0-4473-B6B3-698A2680C088}
408,10436,1840,Resguardo Indígena San Jose De Isnos,RESOLUCION,52,2018/03/05 00:00:00+00,108.1781,ACCTI4135939,YANACONA,41,41359,{374EB54A-DCAC-4DA7-895A-87025A8C4BBC}
409,10531,1737,Resguardo Indígena Eperara - Siapidaara de Quebrada Grande,ACUERDO,0071,2006/08/17 00:00:00+00,774.0986,10-0-00015,EPERARA SIAPIDARA,52,52696,{476087E9-25FC-4634-97C9-AED12D51655C}
410,10697,1433,Resguardo Indígena Tamirco,RESOLUCION,0022,1997/10/03 00:00:00+00,230.8793,I-578.318,PIJAO,73,73483,{9C7328A8-8D13-4055-AF44-BBF35B13798C}
411,10677,1418,Resguardo Indígena Pijao de Potrerito Doyare,RESOLUCION,0006,1997/04/14 00:00:00+00,558.8865,I-551.730,PIJAO,73,73217,{C420AD56-5CD5-4696-A39E-63D6F9827AD5}
412,11054,SIN ASIGNAR,Resguardo Indígena Gran Putumayo,RESOLUCION,293,2023/09/25 00:00:00+00,7.9164,ACCTI 860011889,PASTOS,86,86001,{3EF1C81E-9D1D-4D4E-A343-9861107E0DE2}
413,10197,1788,Resguardo Indígena Misak Piscitau,RESOLUCION,0296,2012/11/29 00:00:00+00,59.5772,10-0-00935,MISAK,19,19548,{CAF97B85-2516-4FEE-90DD-981F599391A1}
414,10314,1245,Resguardo Indígena Embera de la Quebrada Chique-Rio Tangui,RESOLUCION,0028,1992/07/13 00:00:00+00,2729,P-466.088,EMBERA,27,27001,{C3DF72C3-EF3D-407E-9439-E42255F038AA}
415,11481,1888,Resguardo Indígena Inti Yaku,ACUERDO,185,2021/10/26 00:00:00+00,21.8872,ACCTI 19622868,YANACONA,19,19622,{D5A330D0-37AB-4785-B7F7-14A5BDC3A244}
416,10610,1593,Resguardo Indígena Inga Villa Catalina de Puerto Rosario,RESOLUCION,0020,2000/06/29 00:00:00+00,68357.59,R-421.824,INGA,86,86571,{E00F4F7E-5098-46EC-B958-1B58EE8A2679}
417,10707,1579,Resguardo Indígena Pijao Yaco Molana,RESOLUCION,0082,1999/12/09 00:00:00+00,220.4684,I-578.045,PIJAO,73,73483,{45159115-75D0-424F-9239-D8306E418214}
418,10104,1071,Resguardo Indígena Embera Chami La Albania,RESOLUCION,6,2016/09/29 00:00:00+00,128.7051,018016AE17616,EMBERA CHAMI,17,17616,{78900448-FB1B-400C-897B-8055D4C0806E}
419,10006,1008,Resguardo Indígena Ticuna-Huitoto  Kilometro 6 Y 11,RESOLUCION,309,2023/11/30 00:00:00+00,42801.4017,ACCTI 0241910012229,WITOTO TICUNA,91,91001,{76B3348A-6E6E-482F-8FD2-494C9C64EF8E}
420,10196,1698,Resguardo Indígena Inga de Mandiyaco,RESOLUCION,235,2022/06/30 00:00:00+00,16418.4425,ACCTI 197011388,INGA,19,19701,{3CD05554-D2EB-4996-BC2D-005AA39B375C}
421,10696,1420,Resguardo Indígena Pijao Santa Marta - Palmar,RESOLUCION,0016,1996/05/24 00:00:00+00,98.3743,P-466-505,PIJAO,73,73217,{325BFD38-BA3C-4065-A822-DF5B64F2FC3F}
422,10778,1852,Resguardo Indígena Nacuanedorro Tuparro,RESOLUCION,68,2018/07/26 00:00:00+00,95038.3617,ACCTI 9977352,MAPAYERRI,99,99773,{FD92108D-3412-4995-B405-E3AC5F8791A5}
423,10067,1556,Resguardo Indígena Yaberarado,RESOLUCION,0030,1999/05/31 00:00:00+00,10992.0293,I-568.467,EMBERA KATIO,05,05172,{03F01F91-6C9B-4E4B-80FC-7CFBF17BBA92}
424,10272,1772,Resguardo Indígena Embera Katio de El Silencio,ACUERDO,0238,2010/12/23 00:00:00+00,60.7498,No. 10-0-00398,EMBERA KATIO,27,27787,{0AAEA899-0112-4934-8E26-3BB5DCB9B4B7}
425,10723,1446,Resguardo Indígena Chami - (Eriom Garrapatas),RESOLUCION,43,1987/06/11 00:00:00+00,15730,G198468,EMBERA KATIO,76,76100,{9B918D56-F583-425E-A774-2D60BA04E98C}
426,10085,1048,Resguardo Indígena Sikuani - El Zamuro,RESOLUCION,0042,1997/12/10 00:00:00+00,192.4,553-401,SIKUANI,81,81001,{90B719ED-B1C9-4C81-B93E-01E65962E224}
427,10437,1849,Resguardo Indígena El Rosal,RESOLUCION,67,2018/07/26 00:00:00+00,158.6316,ACCTI 4158,YANACONA,41,41503,{2F7ED46B-ADB5-489D-A3B9-76085981295D}
428,11643,1856,Resguardo Indígena Inga De San Pedro,ACUERDO,80,2018/11/15 00:00:00+00,2648.5044,ACCTI 86293,INGA,86,86749,{2E97367B-F686-4FA1-B963-6103C6BD83B5}
429,10222,1129,Resguardo Indígena Tumbichucue,ACUERDO,393,2024/09/26 00:00:00+00,4453.7696,ACCTI 02419110596,PAEZ,19,19355,{B6167BEC-4F08-449E-A952-A4C6A8449AD8}
430,10700,1422,Resguardo Indígena Pijao de Totarco Dinde Tradicional,RESOLUCION,0038,1997/12/10 00:00:00+00,42.0029,I-551-349,PIJAO,73,73217,{42BBF3EB-ED10-442F-AA63-13BF15DF13B5}
431,10416,1766,Resguardo Indígena de Puerto Monfort,ACUERDO,0189,2009/10/21 00:00:00+00,907.2056,10-0-00148,"SIRIANO, GUANANO, CUBEO, TUCANO Y DESANO",95,95200,{FC1B8078-BD60-4E99-99FF-CA8FEE993D18}
432,10512,1687,Resguardo Indígena Awa de Kejuambi Feliciana,RESOLUCION,0031,2003/04/10 00:00:00+00,2177.0449,B-659.554 de agosto de 2002,AWA,52,52835,{1C0020C8-956A-49C9-88AB-BB88E4FD3042}
433,10385,1278,Resguardo Indígena Piapoco y Guahibo de Minitas - Miralindo,RESOLUCION,0001,1987/01/21 00:00:00+00,40200,P-198.624,PIAPOCO GUAHIVO,94,94001,{A2DBC68E-2EE5-40D1-A3B7-EBAC074005A6}
434,10421,1313,Resguardo Indígena Paez de Bache,RESOLUCION,0010,1996/05/24 00:00:00+00,118.2128,R-61511,PAEZ,41,41524,{5B7336BE-09F2-4C84-B0C5-C09C31C10638}
435,10648,1436,Resguardo Indígena Pijao Guaipa Centro,RESOLUCION,0040,1997/12/10 00:00:00+00,145.7318,551878,PIJAO,73,73504,{9963B245-B991-492E-B410-5A3B064F1DC3}
436,10278,1561,Resguardo Indígena Embera Katio de Guarandó Carrizal,RESOLUCION,0035,1999/05/31 00:00:00+00,72.6121,P466-791,EMBERA KATIO,27,27001,{0A408493-7EF6-4224-B987-9EE6A63D8776}
437,10429,1679,Resguardo Indígena Guambiano Nuevo Amanecer La Meseta,RESOLUCION,0023,2003/04/10 00:00:00+00,317.3145,I-630.436,GUAMBIANO,41,41378,{7B59C92C-E6F3-49BF-AF65-61D3CCA5D8AD}
438,10074,,Resguardo Indígena Embera - Katio de Valle De Perdidas,RESOLUCION,0050,1995/10/17 00:00:00+00,8781,P-466.112,EMBERA KATIO,05,05847,{F932A98D-2B16-4FAD-B519-4F65CC1B7300}
439,10022,1018,Resguardo Indígena Yaigoje - Rio Apaporis,RESOLUCION,6,1998/05/11 00:00:00+00,1020320,P-466.575,TANIMUCA,91,91460,{3921A84D-0EFC-4FE6-9569-EF685C1CF02D}
440,10405,1306,Resguardo Indígena Guayaberos de Barrancon,RESOLUCION,0068,1988/08/16 00:00:00+00,2500,G-139.871 de diciembre de 1975,GUAYABERO,95,95001,{5AD027B7-7C87-4675-BD1D-13C5A8AD3D58}
441,10931,SIN ASIGNAR,Resguardo Indígena Pitulumana I y II,ACUERDO,328,2023/12/18 00:00:00+00,410.056,ACCTI 0231440352087,WAYUU,44,44035,{B4F43911-36B2-40D2-A506-0A96E8A995CA}
442,10136,1100,Resguardo Indígena Inga De Niñeras,RESOLUCION,0084,1988/09/26 00:00:00+00,3394.46,b-247.381,INGA,18,18756,{56141ABB-51A6-4BAE-9873-B29D8171BAB3}
443,11788,SIN INFORMACION,Resguardo Indígena Tikuna YoiKm 5800 del pueblo Tikuna,ACUERDO,424,2024/11/27 00:00:00+00,1201.5829,ACCTI02391001814,TIKUNA,91,91001,{AEF10D29-2F73-450B-BC11-6709AF9F50E7}
444,10344,1207,Resguardo Indígena Embera de Santa Cecilia de la Quebrada Oro Choco,RESOLUCION,0049,1989/07/10 00:00:00+00,5723,P-198.866,EMBERA,27,27077,{37261DAB-2DA7-4A17-BDD7-28E135FADB25}
445,10997,1923,Resguardo Indígena Integrado Eden Cartagena,RESOLUCION,288,2023/08/01 00:00:00+00,109.2914,ACCTI 526121748,AWA,52,52612,{808E202A-77D6-47E2-971C-08E392203C85}
446,10541,1684,Resguardo Indígena Saunde Guiguay,ACUERDO,462,2025/03/28 00:00:00+00,7819.1343,ACCTI 024528351040,AWÁ,52,52835,{98C8C1E9-EDFA-4443-B322-80B68B78D2C0}
447,10740,1845,Resguardo Indígena Ancore Drua,RESOLUCION,61,2018/05/09 00:00:00+00,17.4388,ACCTI 7673657,EMBERA CHAMI,76,76736,{91F7C0A4-F809-4DD1-81AD-263B8D6AC509}
448,10173,1132,Resguardo Indígena Yanacona de Guachicono,ACUERDO,0177,2009/09/03 00:00:00+00,1471.7,10-0-00140,YANACONA,19,19397,{81C97A80-AE76-4F2C-A9C8-1C6A6465E46D}
449,10612,1543,Resguardo Indígena Inga de Wasipungo,RESOLUCION,16,2005/06/30 00:00:00+00,723.9174,INC-630.888,INGA,86,86885,{C5845190-3DAC-4B4D-8F93-EEC12ED52D36}
450,11181,1858,Resguardo Indígena Kwe´Sx Yu Kiwe,ACUERDO,354,2024/04/05 00:00:00+00,2682.0225,"ACCTI 02476275196
ACCTI 02476275197",INGA,76,76275,{C793D16A-C1BF-4E08-85A3-885454FD3A32}
451,10568,1400,Resguardo Indígena Inga de Cecilia Cocha,RESOLUCION,0004,1995/02/07 00:00:00+00,5949.25,P-466-388,INGA,86,86573,{F858ECED-7516-4A7A-96BD-F14A652C0AD2}
452,10261,1671,Resguardo Indígena Chigorodo Memba,RESOLUCION,0015,2003/04/10 00:00:00+00,2466.475,I-466.894 de febrero de 2001,EMBERA,27,27430,{EFDEF263-223E-4BF2-A5D3-FA576FFB14C5}
453,10721,1639,Resguardo Indígena Embera Chami de Doxura,RESOLUCION,0036,2001/09/24 00:00:00+00,108.5642,G-602.317,EMBERA CHAMI,76,76246,{366A37EF-53D4-4C6B-B192-0DF28FDF06F1}
454,11190,1916,Resguardo Indígena Dachi Bedea,RESOLUCION,273,2023/05/03 00:00:00+00,18.676,ACCTI 768341605,EMBERA CHAMI,76,76834,{4CA47CFB-BC5A-4170-854A-4875270D5FAE}
455,10426,1315,Resguardo Indígena Pijao de La Tatacoa,RESOLUCION,60,1995/12/07 00:00:00+00,290.2183,R-61.065,PIJAO,41,41872,{612B75D0-F33D-46D2-903F-7406585A08C7}
456,10461,1843,Resguardo Indígena Alberto Pushaina,RESOLUCION,60,2018/04/16 00:00:00+00,226.1234,ACCTI 4443065,WAYUU,44,44430,{769E4DB4-7B5C-4E58-81AB-9440D073AA64}
457,10161,1786,Resguardo Indígena Misak de San Antonio,ACUERDO,0290,2012/08/28 00:00:00+00,138.8115,19-0473-05628 / 19-0548-05628,MISAK,19,19473,{90C4D952-8E07-459E-B68D-16EB51EF1F26}
458,10516,1736,Resguardo Indígena Eperara Siapidaara de Morrito,ACUERDO,0068,2006/08/17 00:00:00+00,906.8298,10-00014,EPERARA SIAPIDARA,52,52250,{CFD390EF-3AE0-40AB-837D-7E83086842AC}
459,10618,1502,Resguardo Indígena Embera Chami de Altomira,RESOLUCION,0001,1998/05/11 00:00:00+00,49.4599,486518 de marzo de 1996 y 486615 IN de 1997,EMBERA CHAMI,66,66440,{B563A749-D064-4BED-B4EE-36F1EE338A8E}
460,10258,1771,Resguardo Indígena Embera Gegenado,ACUERDO,0237,2010/12/23 00:00:00+00,2400.126,10-0-00399,EMBERA,27,27099,{A28EB5A4-F3C7-4C5E-829F-3B88F2474256}
461,10285,1535,Resguardo Indígena Embera de La Lomita,RESOLUCION,0055,1998/12/23 00:00:00+00,1017,P-466.686,EMBERA,27,27001,{39C462A0-FA43-47C3-88C8-D56DA10E5886}
462,10514,1379,Resguardo Indígena Awa de la Turbia,ACUERDO,489,2025/07/10 00:00:00+00,28413.6648,ACCTI024528352981,AWÁ,52,52835,{F6DDFB41-8F25-499B-8E37-AC155DEB83A0}
463,10282,1223,Resguardo Indígena Katio,RESOLUCION,102,1982/07/27 00:00:00+00,16700,G-139480 del INDERENA,KATIO,27,27372,{C2C4AAE4-E601-4FE0-BF69-496E5AA0822B}
464,10080,1055,Resguardo Indígena Guahibo de Caño Claro,RESOLUCION,0083,1984/12/14 00:00:00+00,1633.9908,B-228302 INCORA,GUAHIBO,81,81794,{14CFC250-0BEC-42EB-BBAC-7ACF16969D1B}
465,10267,1192,"Resguardo Indígena Embera de los Rios Dominic,  Londoño y Apartado",RESOLUCION,0073,1990/11/19 00:00:00+00,6610,P-466.044,EMBERA,27,27077,{14171A59-BADE-486E-9D9C-720AC1C92790}
466,10641,1799,Resguardo Indígena Chicuambe Las Brisas,RESOLUCION,0335,2014/02/20 00:00:00+00,458.3581,10-0-00906A de agosto de 2013,PIJAO,73,73504,{B74D5DC2-1EC4-46EC-9880-B3FC47B42716}
467,11065,1864,Resguardo Indígena Inkal Watzal Awa,ACUERDO,120,2020/04/28 00:00:00+00,347.1797,ACCTI 86320513,AWA,86,86320,{AC904041-7CC3-45A0-BC2D-321A02F26956}
468,11605,SIN INFORMACION,Resguardo Indígena Motordochaque Alto Nacaberwua,ACUERDO,410,2024/11/07 00:00:00+00,58.4331,ACCTI02315572755,EMBERA CHAMI,15,15572,{0A40D72B-08B0-455B-9D12-16892C941228}
469,10118,1077,Resguardo Indígena Coreguaje de Hericha,RESOLUCION,218,2010/10/26 00:00:00+00,1459.202,10-0-00423 Incoder,COREGUAJE,18,18460,{AF3C7082-34E9-495D-B03D-7E61C4F3FBB8}
470,10653,1626,Resguardo Indígena Pijao de Imba,RESOLUCION,0015,2001/06/28 00:00:00+00,592.9111,I-606.420,PIJAO,73,73483,{6985E8F4-53BA-4507-A32B-750F937AAB3C}
471,10901,1927,"Resguardo Indígena Mhuysqa Chuta Fa Aba ""Los Hijos Del Maiz""",ACUERDO,247,2022/12/12 00:00:00+00,206.8049,ACCTI 257361580,MUISCA,25,25736,{30B1B51D-84F4-4CB1-A893-BD6951B0DD3C}
472,10367,1792,Resguardo Indígena Muisca de Fonqueta y Cerca de Piedra,ACUERDO,0315,2013/11/12 00:00:00+00,200.2741,001902PS25174,MUISCA,25,25175,{EEAB44A7-E81F-4BB0-89B1-9C38B4D04331}
473,10190,1134,Resguardo Indígena Embera La Iguana,RESOLUCION,0137,1980/12/03 00:00:00+00,10972,G-198.469,EMBERA KATIO,19,19418,{2C67C352-175F-4C48-9D2D-9CF7C661A9D9}
474,10572,1397,Resguardo Indígena Paez de El Descanso,RESOLUCION,29,2004/12/15 00:00:00+00,234.42,INC-630.881,PAEZ,86,86571,{7EE177E1-BBD9-4753-8142-3EEAF2FBE3FA}
475,10741,1850,Resguardo Indígena Dai Umadamia,RESOLUCION,66,2018/07/26 00:00:00+00,110.9096,AACTI 76250131,EMBERA CHAMI,76,76250,{4150F0BA-885F-4019-955B-E8E8A857C169}
476,10354,1621,Resguardo Indígena Katio de Tokolloro,RESOLUCION,0009,2001/02/20 00:00:00+00,254.0149,630-251,KATIO,27,27413,{7FB5FB37-F0B9-47A3-BB42-BDFF3DA3B5E9}
477,10489,1685,Resguardo Indígena Awa de Chinguirito Mira,RESOLUCION,0029,2003/04/10 00:00:00+00,594.2858,I-630.438 Abril de 2003,AWA,52,52835,{9E0EBD73-C02E-4498-B26F-70193E66F527}
478,11128,1904,Resguardo Indígena Quintin Lame,ACUERDO,224,2022/05/24 00:00:00+00,31.1713,ACCTI 735041183,PIJAO,73,73504,{D2C505D7-EE50-4AAB-929B-1B58F151A9D4}
479,10116,1072,Resguardo Indígena Paez El Guayabal,RESOLUCION,0044,1996/09/24 00:00:00+00,588.5,559040,PAEZ,18,18756,{EC67B678-C229-4883-BFC3-2B48EC1F7B7E}
480,10807,1883,Resguardo Indígena Tierra Nueva (As Pejenas) - Cuiloto Marrero,ACUERDO,155,2021/05/10 00:00:00+00,312.5,ACCTI  81591734,HITNU MAKAGUAN,81,18094,{FB0EE73D-8465-4732-A9F9-8C832F2C092D}
481,10714,1775,Resguardo Indígena Embera Chami Bajo Caceres,ACUERDO,0261,2011/10/11 00:00:00+00,117.263,SIN INFORMACION,EMBERA CHAMI,76,76828,{C29BE972-98AE-4452-AC5B-DC7A7D44D1EE}
482,10495,1366,Resguardo Indígena Awa de Cuasbi - Paldubi,RESOLUCION,0022,1994/06/21 00:00:00+00,566.42,P-466-395,AWA,52,52612,{2DFD67FA-7DA3-4B9F-9F11-FFC57B682831}
483,10565,1528,Resguardo Indígena Camentsa Biya,RESOLUCION,0026,1998/07/29 00:00:00+00,72.125,R-420.373.74 de septiembre de 1992,CAMENTZA,86,86001,{8531E4D0-4A39-4326-A16D-A0E4E9328567}
